"country","Q.balance","UV.balance","prod_diversity","prod_ratio","energy_adequacy","polyunsatFA","calories","protein","vitaminA","iron","zinc","calories_percentseafood","protein_percentseafood","polyunsatFA_percentseafood","vitaminA_percentseafood","zinc_percentseafood","iron_percentseafood","Q.balance_norm","UV.balance_norm","prod_diversity_norm","prod_ratio_norm","energy_adequacy_norm","polyunsatFA_norm","calories_norm","protein_norm","vitaminA_norm","iron_norm","zinc_norm","calories_percentseafood_norm","protein_percentseafood_norm","polyunsatFA_percentseafood_norm","vitaminA_percentseafood_norm","zinc_percentseafood_norm","iron_percentseafood_norm","mean_reliance","mean_econ","mean_nutrition","econ_opportunity","mean_malnutrition","mariculture_opportunity"
"Barbados",0.0209106239460371,1.1485536952384,NA,NA,123,27.462,2939.5759,75.932,391.1581,17.7701,9.0119,0.0228549635340254,0.135514012537534,0.0178308535430777,0.0409088243347127,0.0417351501903039,0.0276265974867896,0.0014560991556554,0.27169836093414,NA,NA,0.884892086330935,0.891838518187991,0.76407081166697,0.712561968642469,0.264331662567465,0.571223485028693,0.530096173641952,1,1,0.888953921297338,1,1,0.768959662266274,0.942985597260602,0.136577230044898,0.452588485166524,0.863422769955102,0.547411514833476,0.784606627349727
"Belgium",0.511707909928767,1.08217719795555,NA,NA,148,33.0345,4269.2188,101.8597,1931.2502,15.542,12.334,0.00592637697557221,0.0405137655029418,0.00396981943120071,0.00309320874115638,0.0235750445921842,0.0279125916870416,0.0356324831584319,0.255996539076733,NA,NA,1,1,1,0.955872996330023,1,0.499600756569515,0.725508073291962,0.349172778167827,0.368796410968342,0.197914617025065,0.173979226822031,0.63079967613382,0.776920034648036,0.41626379062752,0.145814511117582,0.863896775319778,0.854185488882418,0.136103224680222,0.468850834730053
"Belize",33.185393258427,2.09190725831444,0.000613842653315766,0.0770321318383626,125,16.1639,2579.8887,68.9232,375.2132,29.5915,13.2048,0.00736299593079345,0.0508352775262901,0.00858175935263148,0.00225413178427625,0.0149750620986308,0.011276042106686,1,0.494855204128955,0.000877346698231149,0.0280753069668919,0.899280575539568,0.524928578549955,0.670578927055241,0.646789905140634,0.253556628312845,0.951224796553006,0.776730096173642,0.433816099682947,0.462753033926557,0.427842032896597,0.126784881914156,0.400689139100584,0.313857742858263,0.360957155063184,0.380951964448519,0.479994201972017,0.61904803555148,0.520005798027983,0.500003662880882
"Benin",0.013786398085361,2.82965999703738,NA,0,118,15.4697,2830.891,64.5148,709.7672,22.1524,12.8966,0.00382293772526035,0.0337661280822385,0.00415143926514412,0.0036124534917928,0.00470694601677962,0.0120163052310359,0.000960007824894572,0.66937574306126,NA,0,0.848920863309353,0.502384179040593,0.735820831879429,0.605420545943412,0.47963711862762,0.71209341139046,0.758601217611247,0.225241457267046,0.307372733549605,0.206969240415881,0.203184433391229,0.12594419541197,0.334462252058517,0.233862385349041,0.223445250295385,0.458872381618094,0.776554749704615,0.541127618381906,0.517181584478521
"Bosnia and Herzegovina",0.283886034563288,1.08882796953905,0.620289256198347,NA,124,16.2629,3042.3864,79.1284,1121.694,14.8157,9.5784,0.00207533697889262,0.0124956905485262,0.00252655110712112,0.00139342717354287,0.00426092353628999,0.00466556571744838,0.0197682391638201,0.257569825328543,0.886560632328574,NA,0.892086330935252,0.528143639845586,0.790793884945292,0.742557663166105,0.758003579401654,0.47625369509117,0.563418722978736,0.122275579420831,0.113748148799767,0.125960740387854,0.0783740777207185,0.11400993012814,0.129861516246644,0.114038332117326,0.387966232273646,0.487411602431693,0.612033767726354,0.512588397568307,0.412886832470663
"Brazil",0.109309982889761,1.61146417766161,0.402808093495045,0.384554767533491,133,31.7616,3186.4739,98.2038,879.9547,35.0344,16.7447,0.0020718732389429,0.0133831175575691,0.00105442735882323,0.000744331497973703,0.00263462468721446,0.00240002968510949,0.00761173718207736,0.381203053535832,0.575721398537075,0.1401557101748,0.956834532374101,1,0.828245904155296,0.921565256494907,0.594644183093882,1,0.984953383724008,0.122071501329599,0.121826388180099,0.0525682818876048,0.0418653344644101,0.0704948995082717,0.0668025085960482,0.0792714856610054,0.276172974857446,0.891614964605659,0.723827025142554,0.108385035394341,0.303827848732634
"Brunei",NA,NA,0.283161786061905,0.152849707221861,123,15.546,2772.915,73.0483,284.5088,13.4952,7.7831,0.0110308642709928,0.0684185833208986,0.0104399504695742,0.0299431156435232,0.0368725353650859,0.0348137033908353,NA,NA,0.404714557915956,0.0557079539101655,0.884892086330935,0.504862049513892,0.720751389591103,0.685500717141464,0.192261605011054,0.433805953548895,0.457815946589806,0.649921113518583,0.622813694531892,0.520481808997915,1,0.986601882154662,0.969005814576185,0.791470718963206,0.230211255913061,0.257956844777186,0.769788744086939,0.742043155222814,0.76776753942432
"Bulgaria",0.292643809252263,1.45778446494727,0,0.0402417603474706,113,23.7549,3099.4341,78.2731,490.601,11.5691,8.3085,0.00246073339646099,0.0142643769059869,0.00235792615418293,0.00362074557532496,0.00564303183486791,0.00656829485439663,0.0203780817186356,0.344849049168061,0,0.0146666040219944,0.81294964028777,0.7714490865816,0.805622038367945,0.734531346833335,0.33153187416357,0.371891076620022,0.488720919972942,0.144982528096718,0.129848483406108,0.117553974397609,0.203650826189902,0.150991131318056,0.182822144323683,0.154974847955346,0.0949734337271728,0.372979768993987,0.905026566272827,0.627020231006013,0.562340548411395
"Cabo Verde",24.0828877005348,0.638162518632113,NA,NA,113,18.2607,2563.9403,68.5958,482.5866,23.3761,11.1121,0.00681691379475567,0.0475817032529689,0.00769702804383184,0.00633695589558434,0.0104862087274233,0.0101679749829955,1,0.150961780055009,NA,NA,0.81294964028777,0.593022927284082,0.666433530798322,0.643717514204881,0.32611600861846,0.751429497210439,0.653633716655392,0.401641802075137,0.433135779150951,0.383733916347275,0.356425569490311,0.280580469032208,0.283015764521668,0.356422216769592,0.575480890027505,0.407372094147163,0.424519109972495,0.592627905852837,0.457856410864975
"Cambodia",2.57473222979552,1.9938350954385,0.65055016054507,0.388716890264878,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.179289983671411,0.47165555223882,0.929811625674631,0.141672646945585,0.776978417266187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.430607452132612,0.668473060938023,0.569392547867388,0.331526939061977,NA
"Cameroon",0.00820733342581033,0.480102798981069,NA,NA,114,14.0986,2638.181,67.6233,1052.83,22.9265,14.3752,0.00861802128057173,0.0615118753447406,0.0141968989828777,0.00408524833068966,0.00839717012632868,0.0141841667938848,0.000571512897096963,0.113571654598154,NA,NA,0.820143884892086,0.457857203864439,0.685730583787403,0.63459136825186,0.711467573599791,0.736977013607708,0.845575130143231,0.507760212563283,0.559941999403268,0.707783785593977,0.229777039128523,0.224683867528497,0.394802585174293,0.437458248231973,0.0570715837476256,0.524563171639414,0.942928416252374,0.475436828360586,0.618607830948311
"Canada",1.50953119205571,1.10721638472608,0.721684550827915,0.690592184208052,135,35.6883,3875.4742,98.223,944.6656,22.8181,12.872,0.00627309040013736,0.0405760361626096,0.00373339721981714,0.00574657317891114,0.0237525637041641,0.0158919016044281,0.105115327972046,0.261919732770577,1,0.251694807061301,0.971223021582734,1,1,0.921745433361023,0.638373661745192,0.733492473521996,0.757154201347019,0.369600585946931,0.369363260174014,0.186127831194343,0.323219168897542,0.63554957163907,0.442335734480271,0.387699358722029,0.404682466950981,0.82202959874556,0.595317533049019,0.17797040125444,0.386995764341829
"Chile",12.4296047988709,1.56844899005758,0.640004652111853,5.5242751774808,122,18.9682,2786.9465,90.0295,641.4244,31.4028,15.9104,0.00518685988410614,0.0304148306943835,0.0048535954914014,0.00087651171361738,0.00635677607099759,0.00584093711388793,0.865528312281484,0.371027511882236,0.914739250115397,1,0.877697841726619,0.615999249169524,0.724398534607466,0.844855894167112,0.433453322488628,1,0.935878356518926,0.305601598272565,0.276865906218565,0.241975109831317,0.0492998833885991,0.170088852691709,0.162576844020025,0.201068032403797,0.787823768569779,0.666744128279484,0.212176231430221,0.333255871720516,0.248833378518178
"China",1.35549689689504,2.13150045596318,0.884501934787175,108.426289410131,124,17.548,2756.6277,89.8205,1593.013,31.1768,16.1885,0.00656314597723878,0.0352657800836112,0.00382193982220196,0.00434523509852085,0.0302120085245699,0.0392519790356932,0.0943892392764513,0.504221250270203,1,1,0.892086330935252,0.569877733492203,0.716517904573464,0.842894593905743,1,1,0.95223669892062,0.386690202773035,0.32102405104483,0.190542106338363,0.24440013787042,0.808385541674398,1,0.491840339950174,0.649652622386664,0.809291010229566,0.350347377613336,0.190708989770434,0.344298902444648
"Hong Kong",0.153716594142238,0.15983238554579,0.71689566308818,0.0439366903807383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0107039657696659,0.0378094618971827,1,0.016013266673404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.266131673585063,NA,0.733868326414937,NA,NA
"Macao",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA
"Colombia",0.584436361036384,1.10366505156646,0.0946413548991285,0.0303314099271925,115,17.4809,2621.6388,64.1399,2151.2435,25.9222,11.3612,0.0023986481280335,0.0181514626620871,0.00256583127870991,3.49302159425467e-05,0.00280833802767313,0.00240622902377113,0.0406968866178034,0.261079640224098,0.135268019888086,0.011054655039684,0.827338129496403,0.567698636391831,0.681430843753217,0.601902404948257,1,0.833274400459805,0.66828622687568,0.141324562066295,0.165232587010889,0.127919046112183,0.00196466920630094,0.0751429636284889,0.0669750612010444,0.0964264815375336,0.112024800442418,0.600292858405376,0.887975199557582,0.399707141594624,0.461369607563247
"Comoros",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA
"Congo",0.00054459639356166,1.66895032951854,NA,NA,98,8.3377,2318.3875,53.6182,1204.6758,17.9486,7.8602,0.0102175283467496,0.0867396331842546,0.0231017798673495,0.00303125039948507,0.0203940739421389,0.0130024291588202,3.79226536178226e-05,0.394801802380305,NA,NA,0.705035971223022,0.27076986428869,0.602608090127409,0.503164543895401,0.814079925914333,0.57696140389677,0.462351107320373,0.602000644499773,0.789590032176614,1,0.170494345819425,0.545686146528663,0.361910059296608,0.57828020472018,0.197419862516962,0.272461207264012,0.802580137483038,0.727538792735988,0.702799711646402
"Cook Islands",NA,NA,0,0.00015193719929096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5.53753791824723e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.76876895912362e-05,NA,0.999972312310409,NA,NA
"Costa Rica",0.629181186884746,2.82426852891197,0.484584052536802,0.0864571784922395,118,20.0279,2959.814,79.5574,4272.2312,29.9328,14.577,0.00247753406126196,0.0175869875083902,0.00241504601081491,0.000122394827321143,0.00422465527886396,0.00344383084776566,0.0438126665823747,0.668100353796678,0.692601298088572,0.031510381028455,0.848920863309353,0.650413395179421,0.76933121045225,0.746583490018389,1,0.962195954590399,0.857445369253845,0.145972396751344,0.160094175209866,0.120401674336048,0.00688416437630643,0.113039496967395,0.0958557059683644,0.107041268934887,0.35900617487402,0.772761488851034,0.64099382512598,0.227238511148966,0.325091201736611
"Croatia",1.00083222803048,1.43737327269331,0.693068679838194,0.0489875502134399,123,22.1113,3186.6077,78.6068,562.0531,10.8979,8.8853,0.00894172508275807,0.0541100897123404,0.00922783373207365,0.0118093201514234,0.0199081629207793,0.0260209765184118,0.0696923710143084,0.340020639749239,0.990582056523643,0.0178541146009596,0.884892086330935,0.718072574000806,0.828280682190658,0.737662858303282,0.379816832053836,0.350315215867901,0.522649333843122,0.526832329706485,0.492563617213935,0.46005195216195,0.664221706702657,0.532684579820912,0.724268753146473,0.566770489792069,0.354537295472037,0.400627430355927,0.645462704527963,0.599372569644073,0.603868587988035
"Cuba",Inf,NA,0.392219387755102,0.106857993359539,131,17.2826,3039.603,82.5926,1041.2889,38.3092,14.1496,0.00128008164224078,0.0092864736065943,0.00135656729890179,0.000513954388642768,0.0017857324588681,0.00139524970503169,1,NA,0.56058728237669,0.0389457086781686,0.942446043165468,0.561258771190582,0.790070408236562,0.775066449603592,0.703668481235713,1,0.832304932207876,0.0754203900874348,0.0845346783777857,0.0676314129858718,0.0289076472493188,0.0477810106492479,0.0388354281583651,0.0571850945846707,0.533177663684953,0.712176451731579,0.466822336315047,0.287823548268421,0.27061032638938
"Cyprus",0.235608816606035,1.47164631801061,0.485169045937629,0.0513325049808265,104,26.8079,2701.604,75.0975,472.1481,11.0419,8.9721,0.00646405616811346,0.0381796997236925,0.00411038537147632,0.0080407609392053,0.0182405011089934,0.0148231101531439,0.0164064831260109,0.34812816687273,0.69343741142467,0.0187087621791416,0.748201438848921,0.870596380880193,0.702215840415188,0.704730843914658,0.319062016742258,0.354944125206854,0.52775506602747,0.380851987606666,0.347549433017387,0.204922506103788,0.452257021212458,0.488062796533849,0.41258695655691,0.381038450171843,0.269170205900638,0.349493552603798,0.730829794099362,0.650506447396202,0.587458230555802
"Denmark",1.09132444997738,1.24842217435347,0.201748659860774,0.125793256961379,133,22.879,4252.7703,130.4213,1486.0662,16.5452,17.293,0.00831728344227761,0.0404459378951138,0.0114338655535644,0.00526198361822643,0.0159208049499798,0.0182584447453038,0.0759937443406282,0.295322943917975,0.288353244345758,0.0458468981614892,0.956834532374101,0.743003912956924,1,1,1,0.531848824964222,1,0.490041213766854,0.36817897691794,0.570033262562104,0.295963162546534,0.42599446915008,0.508206177455253,0.443069543733127,0.176379207691463,0.877248893457902,0.823620792308537,0.122751106542098,0.463147147527921
"Djibouti",NA,NA,NA,NA,106,11.1227,2431.516,57.7924,1422.2855,30.9142,19.1589,0.00115175388523045,0.00920017337919865,0.00222501020435686,0.000331700562228892,0.000859590059972128,0.00100913010849383,NA,NA,NA,NA,0.762589928057554,0.361213760332444,0.632013074981743,0.542336120694477,0.961133339334143,0.993743257543515,1,0.0678595211761188,0.0837490882522034,0.110927474184627,0.0186566805483167,0.023000131741767,0.02808816206126,0.0553801763273822,NA,0.619541764545318,NA,0.380458235454682,NA
"Dominica",NA,NA,NA,NA,NA,10.1886,2530.9062,75.6218,755.9732,31.1047,9.9362,0.0148944915461505,0.0947856834933842,0.0243710637379031,0.00267698709425149,0.0184329924920996,0.0124067809687925,NA,NA,NA,NA,NA,0.330878520370336,0.657847124983903,0.709650986149279,0.510861599983349,0.999866918856505,0.58446516278933,0.87755993484779,0.862833149414439,1,0.150568611381951,0.493213306499892,0.345330767139756,0.621584294880638,NA,0.40171824959074,NA,0.59828175040926,NA
"Dominican Republic",0.275022817158503,0.346350744296285,0.4921875,0.00760261149704924,107,22.846,2493.199,60.6523,2468.8125,23.1526,10.2499,0.00394162279063966,0.0311010629440269,0.00261901426945636,0.000219791093896357,0.00602366852359535,0.00505529832502613,0.0191510541667199,0.0819316762670704,0.703468675080017,0.00277086517581461,0.76978417266187,0.741932225858381,0.648046061194501,0.569174027955191,1,0.744245044173939,0.602917561248199,0.232234194005924,0.283112671672663,0.130570474326551,0.0123622709549699,0.161175862847833,0.140709347016989,0.160027470137488,0.201830567672405,0.572951196558427,0.798169432327595,0.427048803441573,0.461748568635552
"Ecuador",3.02132301196341,2.7458817909445,2.94108996732323e-05,2.74376810658575,110,17.4473,2463.7345,71.9176,2868.4479,24.1511,11.8872,0.00300825758619689,0.0197956133130138,0.00254661810136812,4.128797319275e-05,0.00572232064741907,0.00335784705458551,0.210388073451816,0.649557426014521,4.20361074306845e-05,1,0.79136690647482,0.566607464073314,0.640387485537256,0.674889988885339,1,0.776342030111055,0.699226493338431,0.177241789232517,0.180199274299164,0.126961176692343,0.00232226475942194,0.153112669501483,0.0934624301190384,0.122216600767328,0.464996883893442,0.592100679942293,0.535003116106558,0.407899320057707,0.355039678977198
"Egypt",0.054764096202329,0.972120612381894,0.367100613311178,5.60184209066193,151,14.482,3537.702,88.2055,504.4676,26.3524,9.2912,0.00347973345408969,0.0232898061912239,0.00560641969341251,0.00540260662924636,0.0079099900981574,0.00295106707548459,0.00381346603746633,0.229961888686127,0.524685779437868,1,1,0.470308259427518,0.919539052751067,0.827739091886073,0.34090246225099,0.847103267109928,0.546525102202876,0.205020403267666,0.212006877880753,0.279507021851598,0.303872581139954,0.211648345886634,0.0821401022248525,0.21569922204191,0.439615283540365,0.540303412141999,0.560384716459635,0.459696587858001,0.411926842119848
"El Salvador",1.08270206407673,2.24514064106927,0.0427144723472201,0.0256449868685308,113,16.7538,2435.6449,64.6329,2104.3196,35.1915,11.0461,0.00279264846858423,0.0208007005719997,0.00247856725041483,0.000434597624809463,0.00347340328260653,0.00225086626031854,0.0753933295054673,0.53110362604208,0.0610505006097086,0.00934663057237827,0.81294964028777,0.544085797320587,0.633086281485542,0.606528821354262,1,1,0.649751477897709,0.164538440305265,0.189348573783486,0.123568514044063,0.0244441824235808,0.0929381769431195,0.0626506887128875,0.109581429368734,0.169223521682409,0.617796573962163,0.830776478317591,0.382203426037837,0.440853777908054
"Eritrea",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA
"Estonia",2.77929104477612,0.540241724072703,NA,0,128,15.4358,3398.536,101.5637,1312.4755,16.059,13.3102,0.00420203964295214,0.0245000428302632,0.00560880291270942,0.00229701583000978,0.0075163385974666,0.00611258235257488,0.193534317965012,0.127797935392407,NA,0,0.920863309352518,0.501283264112089,0.883366257016673,0.953095269644064,0.886927385612276,0.516219826904507,0.782929913826064,0.247577543944423,0.223023650164427,0.279625836810971,0.129196918651428,0.201115375814218,0.170137826913298,0.208446192049794,0.10711075111914,0.670009918435359,0.89288924888086,0.329990081564641,0.477108507498432
"Falkland Islands",Inf,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,0.5,NA,NA
"Faroe Islands",Inf,NA,0,0.871837278017002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0.317751808516313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.439250602838771,NA,0.560749397161229,NA,NA
"Fiji",0.525791917931656,1.6970435553667,0.00722012182314646,0.00750152884419379,123,16.2147,3272.101,75.8464,460.8525,26.4326,14.1497,0.0205216831632031,0.127946481309594,0.0324263847003028,0.0336010089996257,0.024702290507926,0.0191438677996111,0.0366132148771111,0.401447450248526,0.0103195012730822,0.00273402436094661,0.884892086330935,0.52657832717438,0.850502573152238,0.711758680114367,0.311428825130741,0.849681312450095,0.832310814387812,1,1,1,1,0.660961500676406,0.532851073126118,0.865635428967087,0.112778547689916,0.544262636148679,0.887221452310084,0.455737363851321,0.736198081709497
"Finland",0.617780602978569,0.179377727412669,0.128164345568144,0.325670173057346,128,17.3152,3286.51,106.1328,1179.302,12.482,13.3284,0.0120818132304481,0.0557341839657486,0.017323195804842,0.00764867692923441,0.0185170988265658,0.0238167921807403,0.0430187935424022,0.0424330483878658,0.183181414337665,0.118694496184154,0.920863309352518,0.562317468142477,0.85424784005462,0.995972671673832,0.79693315395779,0.40123643311676,0.784000470574395,0.711841367562187,0.50734773131184,0.863644738201234,0.430204040436736,0.495463747568397,0.662917410670116,0.611903172625085,0.0968319381130218,0.636010733454211,0.903168061886978,0.363989266545789,0.626353500352617
"France",0.2447335661094,1.04168723070235,0.662748988267617,0.271340197835353,142,29.5046,3855.9836,111.3011,1110.6785,15.2814,13.4948,0.010702939711673,0.0591781482842488,0.00731881808260407,0.00882414488080934,0.0339309808222426,0.0495372348083291,0.0170418797589236,0.246418355851535,0.947247040380428,0.0988932691447454,1,0.958172702051176,1,1,0.750559670074423,0.49122371647416,0.793788417987706,0.630600316026436,0.538698104805849,0.364878328346685,0.496318881846576,0.907894431753033,1,0.65639834379643,0.327400136283908,0.814592112765134,0.672599863716092,0.185407887234866,0.504802031582463
"French Polynesia",0.405301575105647,1.45308863353122,0.106535247759684,0.0518606153999105,NA,24.0932,2848.9893,80.1524,508.0217,14.3398,9.9812,0.0270611616547665,0.148590759602956,0.0220810975710989,0.0366117096966527,0.0568836212078708,0.0497549686885452,0.0282229398233228,0.343738217602891,0.152267600438504,0.0189012385104381,NA,0.782435503110003,0.740525042024434,0.752167096025636,0.343304205080631,0.460955792630005,0.587112143760477,1,1,1,1,1,1,1,0.135782499093789,0.362680281196882,0.864217500906211,0.637319718803118,0.83384573990311
"Gabon",NA,NA,NA,NA,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.877697841726619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85412814681273,NA,0.14587185318727,NA
"Gambia",0.626857457347276,5.87882483009788,0,0.000325367258292798,127,19.8121,2757.3884,58.3756,1402.1167,25.0922,11.6194,0.0129271331525149,0.111877325457897,0.0160327323201478,0.00413067977865181,0.0184660541852419,0.0145011625126533,0.0436508550254258,1,0,0.000118584095176204,0.913669064748201,0.643405211062279,0.716715629920999,0.547808993002756,0.947503933638618,0.806593881353339,0.683474015470133,0.761646283254405,1,0.799308918705073,0.232332355905141,0.494097941319777,0.403625854886049,0.615168559011741,0.260942359780151,0.621158921709241,0.739057640219849,0.378841078290759,0.57768909250745
