"","country_ID","country_name","region","region2","Aq.prod","F.prod","Q.Exp","V.Exp","Q.imp","V.imp","Population","GDP","gross.production.ratio","Q.trade.deficit","V.trade.deficit","willingness","gdppc","DTF","Control of Corruption","Government effectiveness","Political stability","Regulatory quality","Rule of law","Voice and accountability","energy_adequacy","protein","polyunsatFA","vitaminA","zinc","iron","calories_percentseafood","protein_percentseafood","polyunsatFA_percentseafood","vitaminA_percentseafood","zinc_percentseafood","iron_percentseafood","gross.production.ratio_norm","Q.trade.deficit_norm","V.trade.deficit_norm","willingness_norm","gdppc_norm","DTF_norm","Control of Corruption_norm","Government effectiveness_norm","Political stability_norm","Regulatory quality_norm","Rule of law_norm","Voice and accountability_norm","energy_adequacy_norm","protein_norm","polyunsatFA_norm","vitaminA_norm","zinc_norm","iron_norm","calories_percentseafood_norm","protein_percentseafood_norm","polyunsatFA_percentseafood_norm","vitaminA_percentseafood_norm","zinc_percentseafood_norm","iron_percentseafood_norm","mean_econ","mean_nutrition","mean_reliance","econ_opportunity","mean_malnutrition","reliance_mal","mariculture_opportunity"
"11",92,"Dominica","Caribbean Islands","Latin America and Caribbean",NA,409,0,12,444,2192,71402,726828064.9,NA,0,0.00547445255474453,331582.146395985,10179.3796378253,63.88,0.74,0.61,1.21,0.24,0.64,1.01,NA,75.6218,10.1886,755.9732,9.9362,31.1047,0.014894492,0.094785683,0.024371064,0.002676987,0.018432992,0.012406781,NA,0,0.00119816152175482,0.141178226415924,0.326178411904589,0.87715925630956,0.687732342007435,0.562730627306273,1,0.236686390532544,0.617760617760618,0.94392523364486,NA,0.754302674648532,0.376100216610336,0.603383710635519,0.654622453309018,1,1,1,1,0.201973592620499,0.666359422289085,0.529414149783589,0.117138699960567,0.443011108826689,0.732957860782196,0.882861300039433,0.556988891173311,0.638943961669439,0.72426935066498
"12",93,"Dominican Republic","Caribbean Islands","Latin America and Caribbean",800,13114,5424,14783,47530,155195,10027140,1.14e+11,0.0610035077016928,0.114117399537134,0.0952543574213087,734559.747414543,11369.1441427965,62.7,-0.76,-0.58,-0.01,-0.19,-0.76,0.06,107,60.6523,22.846,2468.8125,10.2499,23.1526,0.003941623,0.031101063,0.002619014,0.000219791,0.006023669,0.005055298,0.125574456093961,0.0383856711035901,0.0208477660004159,0.312754602332141,0.364302100241146,0.860956251888062,-0.70631970260223,-0.535055350553505,-0.0108459869848156,-0.187376725838264,-0.733590733590734,0.0560747663551402,0.792592592592593,0.604986817473072,0.843333289036741,1,0.675289817452558,0.849064007469457,0.300246745381901,0.359182104473033,0.173356843722917,0.0165828141472679,0.217757843919244,0.215716412869114,0.172372919154251,0.648313867529325,0.213807127418913,0.827627080845749,0.351686132470675,0.274213423698809,0.464373446911779
"13",99,"Ecuador","South America","Latin America and Caribbean",260000,505205,515196,2361396,170520,284636,15177280,1.51e+11,0.514642570837581,3.02132301196341,8.2961958431119,530502.114981942,9949.08178540555,57.5,-0.79,-0.59,-0.71,-1.02,-1.2,-0.32,110,71.9176,17.4473,2868.4479,11.8872,24.1511,0.003008258,0.019795613,0.002546618,4.13e-05,0.005722321,0.003357847,1,1,1,0.225872678963857,0.318798965372486,0.789553181556038,-0.734200743494424,-0.544280442804428,-0.770065075921909,-1.00591715976331,-1.15830115830116,-0.299065420560748,0.814814814814815,0.71735449347018,0.644046611827485,1,0.783159359410535,0.885681510966181,0.229149178845635,0.228616942664427,0.168564833425086,0.00311600668035617,0.206864003180422,0.143283879566213,0.708934328867269,0.671743118305649,0.16326580739369,0.291065671132731,0.328256881694351,0.231501889457436,0.260862786740257
"14",103,"El Salvador","Mesoamerica","Latin America and Caribbean",778.7,37217,15579,76809,14389,31598,6055208,45998442862,0.020923234005965,1.08270206407673,2.43081840622824,1455739.06139629,7596.50913098278,60.32,-0.21,-0.11,0.11,0.49,-0.76,0.02,113,64.6329,16.7538,2104.3196,11.0461,35.1915,0.002792648,0.020800701,0.002478567,0.000434598,0.003473403,0.002250866,0.0430700434944467,0.364188506778087,0.532019056077468,0.619812197508588,0.243415352656209,0.828275615851482,-0.195167286245353,-0.101476014760148,0.119305856832972,0.483234714003945,-0.733590733590734,0.0186915887850467,0.837037037037037,0.644691998078479,0.618446872882069,1,0.727745524596601,1,0.212725436450233,0.240224572378581,0.164060425822764,0.0327895949459911,0.125564792544649,0.0960475009324971,0.36050103130296,0.666711569784107,0.145235387179119,0.63949896869704,0.333288430215893,0.220011986502386,0.372674262030684
"15",133,"Grenada","Caribbean Islands","Latin America and Caribbean",NA,2320,701,5402,587,2811,105070,1179028541,NA,1.19420783645656,1.92173603699751,419433.845962291,11221.3623393928,60.36,0.44,0.23,0.36,0.26,0.15,0.81,NA,64.2921,15.9777,368.4729,7.4202,15.6457,0.023119755,0.1336152,0.025637919,0.034542877,0.036818505,0.02339331,NA,0.401695704822249,0.42059916520867,0.178582975939392,0.359566719927449,0.828824870238651,0.408921933085502,0.212177121771218,0.390455531453362,0.256410256410256,0.144787644787645,0.757009345794392,NA,0.641292629754527,0.589798051835872,0.294098449086066,0.488861891673233,0.573767125146415,1,1,1,1,1,0.998224223049792,0.34011114147444,0.16091286335912,0.999704037174965,0.65988885852556,0.83908713664088,0.915881432305225,0.832893344113802
"16",136,"Guatemala","Mesoamerica","Latin America and Caribbean",15944,17205,33087,106068,21446,72216,15049280,1.02e+11,0.926707352513804,1.54280518511611,1.46876038551014,1412429.37853107,6777.73288821791,61.24,-0.47,-0.7,-0.76,-0.11,-1.07,-0.34,118,63.2436,20.4056,2965.6509,11.5796,28.3422,0.000418841,0.003144514,0.000355878,1.22e-05,0.000633872,0.000435179,1,0.518953399332494,0.321459024623541,0.6013721690571,0.217179261256507,0.840908466756378,-0.436802973977695,-0.645756457564575,-0.824295010845987,-0.108481262327416,-1.03281853281853,-0.317757009345794,0.874074074074074,0.630834185835327,0.753248785904234,1,0.762893878981613,1,0.0319045345235962,0.0363155804695458,0.0235561500741975,0.00092046686441514,0.0229147053134525,0.0185696773634251,0.531792770853928,0.723421235079941,0.0223635191014387,0.468207229146072,0.276578764920059,0.0786465160852155,0.25571650438919
"17",141,"Haiti","Caribbean Islands","Latin America and Caribbean",NA,770,748,10122,16925,34600,10144890,15849403538,NA,0.0441949778434269,0.292543352601156,458075.246763006,1562.30412927099,43.12,-1.22,-1.66,-1.03,-1.04,-1.41,-0.78,92,47.7101,14.2612,1184.4689,7.8391,18.7248,0.003274237,0.025955957,0.002863339,0.000537087,0.003636866,0.003572835,NA,0.0148658652476234,0.0640272584384863,0.195035382953962,0.0500609956528218,0.592096229368632,-1.13382899628253,-1.53136531365314,-1.11713665943601,-1.02564102564103,-1.36100386100386,-0.728971962616822,0.681481481481481,0.475892613475862,0.526435467986115,0.945389651398187,0.516460102829525,0.686685457661951,0.249409698202745,0.299761948936329,0.189529117274186,0.040522195640011,0.131474039955251,0.152457708719292,0.0809973755732234,0.37437497015593,0.177192451454636,0.919002624426777,0.62562502984407,0.332950495914108,0.573940035241827
"18",145,"Honduras","Mesoamerica","Latin America and Caribbean",30295,8985,21626,143174,9524,17484,7621414,33791210423,3.3717306622148,2.27068458630827,8.18885838480897,1932693.34380005,4433.71931022249,58.3,-0.8,-0.55,-0.43,-0.11,-0.93,-0.49,118,65.2542,13.7472,4571.009,10.8536,26.8051,0.000885743,0.006665073,0.001210074,3.38e-05,0.001567922,0.001229623,1,0.763790202576935,1,0.822885735704543,0.142069907488787,0.800538269299426,-0.743494423791822,-0.507380073800738,-0.466377440347072,-0.108481262327416,-0.897683397683398,-0.457943925233645,0.874074074074074,0.650889261985965,0.507461760966729,1,0.715063128684483,0.983010358517814,0.0674700378485718,0.0769740554078936,0.0800967880703063,0.00255014590305178,0.0566809554365535,0.0524696788876459,0.745749169154053,0.638104767891825,0.0560402769256705,0.254250830845947,0.361895232108175,0.142410354347645,0.224062113293264
"19",170,"Jamaica","Caribbean Islands","Latin America and Caribbean",45,3250,1457,11991,27937,104964,2699838,22917372413,0.0138461538461538,0.0521530586677166,0.114239167714645,218335.547549636,8488.42501401936,62.56,-0.29,0.22,-0.08,0.3,-0.43,0.43,115,69.7803,15.6182,1062.4289,7.9662,18.6477,0.013477083,0.087463929,0.015623252,0.009181536,0.028693936,0.017703384,0.0285020206825882,0.0175427249936043,0.0250028607726917,0.0929610526430335,0.27199506150215,0.859033861532969,-0.269516728624535,0.202952029520295,-0.0867678958785249,0.29585798816568,-0.415057915057915,0.401869158878505,0.851851851851852,0.696035626337604,0.576527531070368,0.847982827920901,0.524833778260331,0.68385800696631,1,1,1,0.692729479707765,1,0.755427373841159,0.0872007441188135,0.476778820309445,0.908026142258154,0.912799255881186,0.523221179690555,0.689273900087748,0.781348859276632
"20",226,"Mexico","Mesoamerica","Latin America and Caribbean",116803,1464722,267091,1013231,190889,612416,120365271,1.9e+12,0.0797441425744954,1.39919534389095,1.65448159421047,3102466.29741875,15785.2841123915,66.08,-0.4,0.31,-0.68,0.29,-0.56,0.09,129,86.1759,25.8414,1445.3718,28.4892,44.7473,0.003826677,0.025992418,0.002998762,0.000606434,0.003275459,0.003641471,0.164151664514755,0.470647355250989,0.362106743059914,1,0.50580871196809,0.907368247603878,-0.371747211895911,0.285977859778598,-0.737527114967462,0.285996055226824,-0.540540540540541,0.0841121495327103,0.955555555555556,0.8595763636973,0.953904966090959,1,1,1,0.291490920079819,0.30018303225143,0.19849298835219,0.0457542952831747,0.118409044335916,0.155386499804147,0.500542894958749,0.943056428986689,0.184952796684446,0.499457105041251,0.0569435710133108,0.102624912726449,0.247117824246336
"21",254,"Nicaragua","Mesoamerica","Latin America and Caribbean",15740,32902,22716,143950,4438,7585,5807787,24528765813,0.478390371405994,5.1185218566922,18.9782465392221,3233851.78813448,4223.42723880886,54.23,-0.74,-0.9,-0.28,-0.32,-0.72,-0.58,113,71.7796,17.0295,2539.906,12.1915,26.3818,0.002572126,0.017615827,0.002809097,3.28e-05,0.00397699,0.003011004,0.984756663234115,1,1,1,0.135331507278725,0.744651635404938,-0.687732342007435,-0.830258302583025,-0.303687635574837,-0.315581854043392,-0.694980694980695,-0.542056074766355,0.837037037037037,0.715977988691116,0.628624014954529,1,0.803207427338107,0.967486884075988,0.195927530413783,0.203442879553438,0.185938750091262,0.0024746977994112,0.143769647317672,0.128483618970544,0.824017634102568,0.70324331971725,0.143339520691018,0.175982365897432,0.29675668028275,0.206244903727552,0.2053595222904
"22",275,"Panama","Mesoamerica","Latin America and Caribbean",6517,162957,33586,111582,16060,46108,3681979,62809393855,0.03999214516713,2.09128268991283,2.42001388045458,1362223.34204476,17058.5964382198,65.91,-0.34,0.09,-0.03,0.43,0,0.52,113,82.3206,21.8986,1535.934,14.0357,29.5885,0.006549879,0.039886857,0.005388847,0.000398192,0.007459749,0.006624621,0.0823230018501661,0.703444784452024,0.529654332497649,0.579995869809535,0.546609527643919,0.905033916458408,-0.315985130111524,0.0830258302583025,-0.0325379609544468,0.424063116370809,0,0.485981308411215,0.837037037037037,0.821121009532595,0.808361129444978,1,0.924708074305005,1,0.498926420003958,0.460648089040395,0.356696645083116,0.0300428312848519,0.269672662694238,0.282681550867506,0.488405503250659,0.832118126899414,0.316444699829011,0.511594496749341,0.167881873100586,0.230489325002368,0.331973689892979
"23",278,"Peru","South America","Latin America and Caribbean",68592,8169839,431412,1050149,69230,133816,29759891,3.11e+11,0.00839575908411414,6.23157590639896,7.84770879416512,2324086.80576314,10450.3070928586,69.3,-0.25,-0.15,-0.74,0.48,-0.62,0.09,115,70.7091,12.7153,1327.4904,15.8374,29.3906,0.013314816,0.081261549,0.019191305,0.000599831,0.018238473,0.017830007,0.0172824960433269,1,1,0.989529915408805,0.334859754989167,0.951583225771016,-0.232342007434944,-0.138376383763838,-0.802603036876356,0.473372781065089,-0.598455598455598,0.0841121495327103,0.851851851851852,0.70530010198105,0.469370383003102,1,1,1,1,0.938478989691075,1,0.0452561114548359,0.659327489086692,0.760830548757203,0.66833443328826,0.725027835615109,0.733982189831634,0.33166556671174,0.274972164384891,0.449249008188072,0.446873306976089
"24",301,"Saint Kitts and Nevis","Caribbean Islands","Latin America and Caribbean",1,30038,172,719,694,3236,52998,1127973938,3.32911645249351e-05,0.247838616714697,0.222187886279357,348570.438195303,21283.3302766142,61.36,1.05,0.77,0.98,0.4,0.74,1.14,NA,56.2072,16.9789,218.7174,6.022,12.4718,0.020467523,0.146436044,0.01564228,0.054012987,0.05461541,0.029070222,6.85291720993494e-05,0.0833654785910485,0.0486289676050331,0.148411356824579,0.681982902363783,0.842556229917886,0.975836431226766,0.710332103321033,1,0.394477317554241,0.714285714285714,1,NA,0.560648401578711,0.6267561753141,0.174570363595632,0.396744873676748,0.457372238468145,1,1,1,1,1,1,0.192491446911308,0.0299305125157847,1,0.807508553088692,0.970069487484215,0.984921056473165,0.925859346857636
"25",302,"Saint Lucia","Caribbean Islands","Latin America and Caribbean",10.9,1513,0,0,1189,7404,179278,1875503372,0.00720423000660939,0,0,253309.477579687,10461.4251162998,65.02,1.23,0.86,0.87,0.46,0.77,1.18,NA,73.1007,8.8582,267.3042,7.3766,16.5062,0.020449701,0.108902569,0.043449211,0.046900397,0.038633286,0.022767572,0.0148297581358697,0,0,0.10785195514217,0.335216010415194,0.892813006343888,1,0.793357933579335,0.943600867678959,0.453648915187377,0.743243243243243,1,NA,0.729155528282585,0.326990061321249,0.21335015588444,0.485989411352358,0.605323821950552,1,1,1,1,1,0.97152313505144,0.0915795447386469,0.0809233361483943,0.995253855841907,0.908420455261353,0.919076663851606,0.956407127489453,0.940916991651622
"26",304,"Saint Vincent and the Grenadines","Caribbean Islands","Latin America and Caribbean",NA,74204,38,269,393,2024,109341,1079375927,NA,0.0966921119592875,0.132905138339921,533288.501482213,9871.64857647177,63.79,1.05,0.77,0.87,0.36,0.91,1.04,120,76.8815,17.0781,561.6194,9.0015,20.2522,0.010012001,0.061529093,0.010930262,0.013094446,0.017655057,0.010583941,NA,0.0325243269040051,0.0290881729652375,0.227059042911655,0.316317768873552,0.875923433938429,0.975836431226766,0.710332103321033,0.943600867678959,0.355029585798816,0.878378378378378,0.97196261682243,0.888888888888889,0.766867769360041,0.630418026941187,0.448259273657974,0.593042009365867,0.742699052895698,0.762647953650144,0.710591438950397,0.723492016989806,0.987951118924047,0.638236786681233,0.45163109801605,0.151247327913612,0.444210361477349,0.712425068868613,0.848752672086388,0.555789638522651,0.629252311478441,0.705655793159217
"27",349,"Suriname","South America","Latin America and Caribbean",96,8950,16092,65346,1334,2971,523439,7914263444,0.0107262569832402,12.0629685157421,21.9946146078761,2663838.25109391,15119.7435498692,44.34,-0.37,-0.11,0.13,-0.6,-0.07,0.33,116,62.5622,24.6438,305.4681,9.3119,22.7189,0.007528607,0.060225401,0.004958878,0.003308609,0.015662456,0.009151299,0.0220797776609994,1,1,1,0.484482759752402,0.608848488177299,-0.343866171003717,-0.101476014760148,0.140997830802603,-0.591715976331361,-0.0675675675675676,0.308411214953271,0.859259259259259,0.624037444121886,0.909696967012328,0.24381085951034,0.613491961008056,0.833159138900074,0.573479439563195,0.695535270736962,0.328236289873598,0.249628274738173,0.566203529616256,0.39049832341688,0.70131250748268,0.448110018986143,0.467263521324177,0.29868749251732,0.551889981013856,0.50781695118622,0.439280331618451
"28",370,"Trinidad and Tobago","Caribbean Islands","Latin America and Caribbean",NA,6902,3866,11679,12033,36587,1334790,41395401723,NA,0.321283138037065,0.31921174187553,1131423.7768333,31012.6699503293,62.13,-0.28,0.32,0.15,0.4,-0.2,0.48,117,67.9135,20.1074,267.0759,7.6414,19.4543,0.010103415,0.070772159,0.009734585,0.026941091,0.024227066,0.010383967,NA,0.108070013142974,0.0698640133571202,0.481727993724289,0.993740659374865,0.853129376870898,-0.260223048327138,0.29520295202952,0.162689804772234,0.394477317554241,-0.193050193050193,0.448598130841121,0.866666666666667,0.67741490806544,0.742241082726839,0.21316793712174,0.503435117521339,0.713438055359358,0.769611266981312,0.817338397974374,0.644348190025885,1,0.875817322739549,0.443097936578863,0.413350669899812,0.340318834897844,0.758368852383331,0.586649330100188,0.659681165102156,0.707305908442324,0.668233115861892
"29",390,"Uruguay","South America","Latin America and Caribbean",0,85656,94341,233445,29475,61410,3385610,60618737181,0,3.20071246819338,3.80141670737665,987115.081924768,17904.8198643671,58.77,1.24,0.56,0.95,0.43,0.67,1.11,122,107.1745,17.8626,897.6721,19.1219,35.0373,0.002108266,0.0117572,0.002171886,0.000502121,0.00257991,0.002744696,0,1,0.83199391745339,0.420285464851661,0.573725110624197,0.806992008348667,1,0.51660516605166,1,0.424063116370809,0.646718146718147,1,0.903703703703704,1,0.659376924133226,0.716481381392858,1,1,0.160593746509831,0.135782363410226,0.143760706084806,0.0378840772481143,0.0932646928484444,0.117119895906474,0.56520089858585,0.799329253614384,0.114734247001316,0.43479910141415,0.200670746385616,0.151735977875208,0.250068031600361
"30",394,"Venezuela","South America","Latin America and Caribbean",18147.24,166575,17336,23503,51269,265904,29427631,5e+11,0.108943358847366,0.338138056135286,0.0883890426620134,1880377.88073891,16990.8342265132,38.2,-1.16,-1.2,-1.08,-1.47,-1.67,-0.96,124,83.6347,28.2345,1217.4391,14.9639,34.1952,0.005608256,0.034929114,0.004108329,0.000463741,0.009887754,0.007736343,0.224257645957096,0.113739502153594,0.0193451945748596,0.800611302749162,0.544438219431828,0.524537939746794,-1.07806691449814,-1.1070110701107,-1.17136659436009,-1.44970414201183,-1.61196911196911,-0.897196261682243,0.918518518518519,0.83422872641788,1,0.971704977942032,0.985860281503071,1,0.427199813698195,0.403391764258941,0.271937052805112,0.0349883790303886,0.357445934071723,0.330120234392726,0.340478372973308,0.925812868973541,0.304180529709514,0.659521627026692,0.0741871310264588,0.150220773574288,0.345963095920888
