"","country","native","fishmeal","intensity","hatchery","habitat","GMO","waste"
"210","Venezuela, Boliv Rep of",NA,NA,NA,NA,NA,NA,NA
"211","Viet Nam",0.97,0.28,0.28,0.25,0.282051282051282,0.7,0.27
"212","Yemen",NA,NA,NA,NA,NA,NA,NA
"213","Yugoslavia SFR",NA,NA,NA,NA,NA,NA,NA
"214","Zambia",NA,NA,NA,NA,NA,NA,NA
"215","Zimbabwe",NA,NA,NA,NA,NA,NA,NA
"216","Réunion",NA,NA,NA,NA,NA,NA,NA
"217","South Sudan",NA,NA,NA,NA,NA,NA,NA
"218","United Republic of Tanzania",NA,NA,NA,NA,NA,NA,NA
"219","Democratic Republic of the Congo",NA,NA,NA,NA,NA,NA,NA
"220","Southern Africa",NA,NA,NA,NA,NA,NA,NA
"221","Burkina Faso",NA,NA,NA,NA,NA,NA,NA
"222","Côte d'Ivoire",NA,NA,NA,NA,NA,NA,NA
"223","Guinea-Bissau",NA,NA,NA,NA,NA,NA,NA
"224","Saint Helena, Ascension and Tristan da Cunha",NA,NA,NA,NA,NA,NA,NA
"225","Tajikistan",NA,NA,NA,NA,NA,NA,NA
"226","Democratic People's Republic of Korea",NA,NA,NA,NA,NA,NA,NA
"227","Republic of Korea",NA,NA,NA,NA,NA,NA,NA
"228","Eastern Asia (excluding China)",NA,NA,NA,NA,NA,NA,NA
"229","Afghanistan",NA,NA,NA,NA,NA,NA,NA
"230","Iran (Islamic Republic of)",NA,NA,NA,NA,NA,NA,NA
"231","Southern Asia (excluding India)",NA,NA,NA,NA,NA,NA,NA
"232","Lao People's Democratic Republic",NA,NA,NA,NA,NA,NA,NA
"233","Timor-Leste",NA,NA,NA,NA,NA,NA,NA
"234","West Bank and Gaza Strip",NA,NA,NA,NA,NA,NA,NA
"235","Anguilla",NA,NA,NA,NA,NA,NA,NA
"236","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA
"237","Montserrat",NA,NA,NA,NA,NA,NA,NA
"238","Puerto Rico",NA,NA,NA,NA,NA,NA,NA
"239","Saint Vincent and the Grenadines",NA,NA,NA,NA,NA,NA,NA
"240","Turks and Caicos Islands",NA,NA,NA,NA,NA,NA,NA
"241","United States Virgin Islands",NA,NA,NA,NA,NA,NA,NA
"242","Bolivia (Plurinational State of)",NA,NA,NA,NA,NA,NA,NA
"243","Venezuela (Bolivarian Republic of)",NA,NA,NA,NA,NA,NA,NA
"244","American Samoa",NA,NA,NA,NA,NA,NA,NA
"245","Fiji",NA,NA,NA,NA,NA,NA,NA
"246","Micronesia (Federated States of)",NA,NA,NA,NA,NA,NA,NA
"247","Nauru",NA,NA,NA,NA,NA,NA,NA
"248","Niue",NA,NA,NA,NA,NA,NA,NA
"249","Northern Mariana Islands",NA,NA,NA,NA,NA,NA,NA
"250","Tokelau",NA,NA,NA,NA,NA,NA,NA
"251","Wallis and Futuna Islands",NA,NA,NA,NA,NA,NA,NA
"252","Andorra",NA,NA,NA,NA,NA,NA,NA
"253","Gibraltar",NA,NA,NA,NA,NA,NA,NA
"254","Holy See",NA,NA,NA,NA,NA,NA,NA
"255","Liechtenstein",NA,NA,NA,NA,NA,NA,NA
"256","Monaco",NA,NA,NA,NA,NA,NA,NA
"257","Republic of Moldova",NA,NA,NA,NA,NA,NA,NA
"258","Russian Federation",NA,NA,NA,NA,NA,NA,NA
"259","Saint Pierre and Miquelon",NA,NA,NA,NA,NA,NA,NA
"260","San Marino",NA,NA,NA,NA,NA,NA,NA
"261","The former Yugoslav Republic of Macedonia",NA,NA,NA,NA,NA,NA,NA
"262","RÈunion",NA,NA,NA,NA,NA,NA,NA
"263","CÙte d'Ivoire",NA,NA,NA,NA,NA,NA,NA
