"","country","species","area","year","value","value.kg","relative.value","production","native","fishmeal","intensity","hatchery","habitat","waste","ecol.score","msi"
"1619","Philippines","Banana prawn","Pacific, Western Central",2001,0,0,0,808.27,10,4,5,1,3,1,4,4.3
"1644","Portugal","Common edible cockle","Atlantic, Northeast",2001,373.19,6.32525423728814,0.00124387694167661,59,10,10,7,6,9,6,8,6.9
"1649","Portugal","Gilthead seabream","Atlantic, Northeast",2001,287214.9,310.502594594595,0.957313945754046,925,10,3,3,6,4,3,4.8,5.3
"1654","Portugal","Marine molluscs nei","Atlantic, Northeast",2001,0,0,0,54,5,5,5,6,4,5,5,5.3
"1660","Portugal","Sargo breams nei","Atlantic, Northeast",2001,732.26,0.06303891184573,0.00244069061151722,11616,6,3,3,6,4,3,4.2,4.8
"1661","Portugal","Sea mussels nei","Atlantic, Northeast",2001,0,0,0,656,5,10,7,6,7,8,7.2,6.5
"1774","South Africa","Mediterranean mussel","Atlantic, Southeast",2001,4140.24,6.17025335320417,0.14314173044863,671,1,10,7,7,7,9,6.8,6.2
"1775","South Africa","Mullets nei","Atlantic, Southeast",2001,1346.25,5.63284518828452,0.0465442956486745,239,5,5,4,6,5,6,5.2,5.4
"1776","South Africa","Pacific cupped oyster","Atlantic, Southeast",2001,412.8,0.462780269058296,0.0142718553342788,892,1,10,7,7,7,9,6.8,6.1
"1777","South Africa","Perlemoen abalone","Atlantic, Southeast",2001,3185.29,187.37,0.110125964335574,17,10,5,7,6,7,8,7.2,6.7
"1778","South Africa","Red bait","Atlantic, Southeast",2001,9.13,0.00132838643969155,0.000315654164733443,6873,1,5,4,7,5,6,4.7,5
"1797","Spain","Cupped oysters nei","Atlantic, Northeast",2001,0,0,0,28,5,10,10,7,8,10,8.3,7.2
"1799","Spain","European eel","Atlantic, Northeast",2001,22944.01,279.805,0.00875224826998693,82,10,3,3,3,6,7,5.3,5.9
"1800","Spain","European flat oyster","Atlantic, Northeast",2001,0,0,0,7887,10,10,7,5,7,10,8.2,7.3
"1808","Spain","Gilthead seabream","Atlantic, Northeast",2001,130731.43,0.750825192255782,0.0498689606590312,174117,10,1,1,3,3,1,3.2,4.2
"1809","Spain","Gilthead seabream","Mediterranean and Black Sea",2001,1,1.39345632907865e-05,3.81461142580871e-07,71764,10,1,1,3,3,1,3.2,4.2
"1861","Sweden","Atlantic salmon","Atlantic, Northeast",2001,0,0,0,167909,10,3,3,8,5,5,5.7,6
"1863","Sweden","European flat oyster","Atlantic, Northeast",2001,0,0,0,78,10,10,7,8,7,8,6.7,6.3
"1901","Thailand","Cupped oysters nei","Pacific, Western Central",2001,2745.63,2.70505418719212,0.331847513285963,1015,5,10,7,5,6,10,7.2,6.7
"1921","Turkey","Atlantic salmon","Mediterranean and Black Sea",2001,7923.6,6.2,0.0528466465496014,1278,1,3,3,8,5,5,4.2,4.7
"1926","Turkey","Gilthead seabream","Mediterranean and Black Sea",2001,221,13,0.00147396497645791,17,8,3,3,7,5,6,5.3,5.1
"1929","Turkey","Mediterranean mussel","Mediterranean and Black Sea",2001,129.6,3.6,0.000864370411533689,36,10,10,7,6,7,8,8,6.6
"1930","Turkey","Natantian decapods nei","Mediterranean and Black Sea",2001,725.83,2.71846441947566,0.00484094117132329,267,5,5,5,6,5,5,5.2,5.1
"1944","Ukraine","Mullets nei","Mediterranean and Black Sea",2001,5540,0.5,1,11080,5,10,5,5,5,5,5.8,5.6
"1964","United Kingdom","Atlantic cod","Atlantic, Northeast",2001,12.9,4.3,0.000806621045681013,3,10,1,3,3,3,1,3.5,4.6
"1970","United Kingdom","European flat oyster","Atlantic, Northeast",2001,9747.8,12.2,0.609517878223983,799,10,10,7,5,7,10,8.2,7.3
"1971","United Kingdom","European seabass","Atlantic, Northeast",2001,3136,2,0.196090201492687,1568,10,3,5,7,5,5,5.8,6
"2019","Viet Nam","Gracilaria seaweeds","Pacific, Western Central",2001,593.96,4.79,0.0417598827832235,124,10,10,10,5,7,10,8.7,7.9
"2032","Argentina","Blue mussel","Atlantic, Southwest",2002,12,0.8,0.105263157894737,15,10,10,7,5,7,10,8.2,7.1
"2034","Argentina","Pacific cupped oyster","Atlantic, Southwest",2002,102,1.7,0.894736842105263,60,3,10,5,7,7,10,7,6.4
"2038","Australia","Atlantic salmon","Pacific, Southwest",2002,60982.27,4.24785943159654,0.304719513830068,14356,1,1,1,3,5,3,2.3,3.7
"2050","Australia","Pacific cupped oyster","Indian Ocean, Eastern",2002,14595.99,2.96425467099919,0.0729340343786569,4924,1,10,10,10,7,10,8,7.2
"2053","Australia","Southern bluefin tuna","Indian Ocean, Eastern",2002,103220.7,25.7536676646707,0.515778791461835,4008,10,1,1,1,3,1,2.8,4.1
"2076","Brazil","Cupped oysters nei","Atlantic, Southwest",2002,2638.5,0.106078880714027,0.0206556883464106,24873,7,10,7,7,7,10,8,7.1
"2087","Brazil","Whiteleg shrimp","Atlantic, Southwest",2002,120506.01,76.7554203821656,0.943390027071986,1570,1,3,3,5,1,1,2.3,4
"2101","Canada","Blue mussel","Atlantic, Northwest",2002,19898.89,795.9556,0.0481240221844286,25,10,10,9,8,8,10,9.2,8.2
"2167","China","Red drum","Pacific, Northwest",2002,72,0.0388140161725067,0.000698916892374758,1855,1,1,2,5,4,5,3,4.4
"2266","France","European flat oyster","Mediterranean and Black Sea",2002,0,0,0,39,10,10,7,5,7,10,8.2,7.3
"2285","France","Pacific cupped oyster","Mediterranean and Black Sea",2002,0,0,0,172,1,10,10,5,5,1,5.3,6.2
"2312","Greece","European eel","Mediterranean and Black Sea",2002,226.92,2.2692,0.00124689546821194,100,10,3,3,3,6,7,5.3,5.9
"2313","Greece","European flat oyster","Mediterranean and Black Sea",2002,14042.61,226.493709677419,0.0771622896653785,62,10,10,7,5,7,10,8.2,7.3
"2314","Greece","European seabass","Mediterranean and Black Sea",2002,104000.01,56.3991377440347,0.57146633687201,1844,10,3,5,5,5,1,4.8,5
"2332","Iceland","Atlantic wolffish","Atlantic, Northeast",2002,8000,8.89877641824249,0.0390296449668346,899,10,3,5,8,7,5,6.3,6.7
"2337","Iceland","Spotted wolffish","Atlantic, Northeast",2002,792.76,1.58552,0.00386764266798847,500,10,3,6,8,7,5,6.5,6.9
"2345","Indonesia","Groupers nei","Pacific, Western Central",2002,30,0.0110415899889584,0.00190530385785925,2717,9,1,5,5,3,4,4.5,5
"2356","Ireland","Atlantic salmon","Atlantic, Northeast",2002,8032.96,8.74097932535365,0.00529245892858804,919,10,3,3,5,5,5,5.2,5.4
"2365","Ireland","Pacific cupped oyster","Atlantic, Northeast",2002,0.65,0.0433333333333333,4.28247906572699e-07,15,1,10,7,5,7,10,6.7,6.8
"2490","Malaysia","Blood cockle","Pacific, Western Central",2002,60,4,0.00109411285227015,15,10,10,7,3,5,7,7,7
"2545","Mexico","Yellowfin tuna","Pacific, Eastern Central",2002,8.01,0.000481485934118779,1.2895393741207e-05,16636,10,1,1,1,3,1,2.8,4.1
"2557","Morocco","Mediterranean mussel","Mediterranean and Black Sea",2002,13,13,0.596330275229358,1,10,10,7,5,6,10,6.3,6.4
"2558","Morocco","Penaeus shrimps nei","Mediterranean and Black Sea",2002,0,0,0,13,5,3,3,5,4,5,4.2,4.9
"2568","Myanmar","Giant tiger prawn","Indian Ocean, Eastern",2002,80,80,0.017128126953677,1,10,1,1,3,1,1,2.8,3.7
"2576","Namibia","Pacific cupped oyster","Atlantic, Southeast",2002,35265,783.666666666667,0.99642907397225,45,1,10,7,4,7,9,6.3,5.5
"2592","Nigeria","Snappers nei","Atlantic, Eastern Central",2002,225220.62,2252.2062,1,100,5,7,3,3,4,3,4.2,4.9
"2594","Norway","Atlantic cod","Atlantic, Northeast",2002,0,0,0,1800,10,1,3,3,3,1,3.5,4.6
"2597","Norway","Blue mussel","Atlantic, Northeast",2002,8,4.92319810949193e-05,7.75262963625059e-06,162496,10,10,9,8,7,10,9,8.1
"2628","Peru","Gracilaria seaweeds","Pacific, Southeast",2002,0,0,0,1,10,10,10,5,10,10,9.2,8.2
"2630","Peru","Pacific cupped oyster","Pacific, Southeast",2002,1361.1,1.98700729927007,0.204626842784164,685,1,10,10,5,7,10,7.2,6.5
"2632","Peru","Whiteleg shrimp","Pacific, Southeast",2002,1568.42,24.5065625,0.235795189743251,64,10,3,1,5,3,3,4.2,4.5
"2633","Philippines","Banana prawn","Pacific, Western Central",2002,0,0,0,1267.52,10,4,5,1,3,1,4,4.3
"2658","Portugal","Common edible cockle","Atlantic, Northeast",2002,28,1.12,9.92906745134668e-05,25,10,10,7,6,9,6,8,6.9
"2663","Portugal","Gilthead seabream","Atlantic, Northeast",2002,274320.72,339.505841584158,0.972767475779281,808,10,3,3,6,4,3,4.8,5.3
"2668","Portugal","Marine molluscs nei","Atlantic, Northeast",2002,0,0,0,26,5,5,5,6,4,5,5,5.3
"2674","Portugal","Sargo breams nei","Atlantic, Northeast",2002,803.04,0.100092234824878,0.00284765654504623,8023,6,3,3,6,4,3,4.2,4.8
"2675","Portugal","Sea mussels nei","Atlantic, Northeast",2002,0,0,0,956,5,10,7,6,7,8,7.2,6.5
"2724","Saudi Arabia","Flathead grey mullet","Indian Ocean, Western",2002,183279.25,3332.35,0.917703426761079,55,10,3,5,5,5,5,5.5,5.7
"2788","South Africa","Mediterranean mussel","Atlantic, Southeast",2002,1683.97,8.09600961538461,0.0714415411962853,208,1,10,7,7,7,9,6.8,6.2
"2789","South Africa","Mullets nei","Atlantic, Southeast",2002,1197.15,10.2320512820513,0.0507884588461392,117,5,5,4,6,5,6,5.2,5.4
"2790","South Africa","Pacific cupped oyster","Atlantic, Southeast",2002,526.91,0.805672782874618,0.0223538795060094,654,1,10,7,7,7,9,6.8,6.1
"2791","South Africa","Perlemoen abalone","Atlantic, Southeast",2002,7314.62,304.775833333333,0.310318904769784,24,10,5,7,6,7,8,7.2,6.7
"2792","South Africa","Red bait","Atlantic, Southeast",2002,17.8,0.0016158315177923,0.000755155634182247,11016,1,5,4,7,5,6,4.7,5
"2800","Spain","Atlantic salmon","Atlantic, Northeast",2002,1101.96,16.4471641791045,0.00040382210757395,67,10,1,2,3,3,1,3.3,3.5
"2811","Spain","Cupped oysters nei","Atlantic, Northeast",2002,18,1.125,6.59624481499428e-06,16,5,10,10,7,8,10,8.3,7.2
"2813","Spain","European eel","Atlantic, Northeast",2002,17000.83,894.78052631579,0.0062300909298944,19,10,3,3,3,6,7,5.3,5.9
"2814","Spain","European flat oyster","Atlantic, Northeast",2002,25,0.00357704964944913,9.1614511319365e-06,6989,10,10,7,5,7,10,8.2,7.3
"2822","Spain","Gilthead seabream","Atlantic, Northeast",2002,175817.19,0.964814546532111,0.0644296237735758,182229,10,1,1,3,3,1,3.2,4.2
"2875","Sweden","Atlantic salmon","Atlantic, Northeast",2002,0,0,0,209995,10,3,3,8,5,5,5.7,6
"2915","Thailand","Cupped oysters nei","Pacific, Western Central",2002,2293.1,3.19373259052925,0.290635923720586,718,5,10,7,5,6,10,7.2,6.7
"2935","Turkey","Atlantic salmon","Mediterranean and Black Sea",2002,1590,6,0.0125470187691564,265,1,3,3,8,5,5,4.2,4.7
"2940","Turkey","Gilthead seabream","Mediterranean and Black Sea",2002,59.77,9.96166666666667,0.000471657428825458,6,8,3,3,7,5,6,5.3,5.1
"2944","Turkey","Natantian decapods nei","Mediterranean and Black Sea",2002,421.31,2.19432291666667,0.00332464432555552,192,5,5,5,6,5,5,5.2,5.1
"2952","Turkey","Trouts nei","Mediterranean and Black Sea",2002,128,3.2,0.00101007446695096,40,5,3,3,5,5,5,4.3,4.8
"2958","Ukraine","Mullets nei","Mediterranean and Black Sea",2002,4533.5,0.5,1,9067,5,10,5,5,5,5,5.8,5.6
"2984","United Kingdom","European flat oyster","Atlantic, Northeast",2002,432,12,0.13748766748353,36,10,10,7,5,7,10,8.2,7.3
"3033","Viet Nam","Gracilaria seaweeds","Pacific, Western Central",2002,2328.85,9.91,0.138437934318293,235,10,10,10,5,7,10,8.7,7.9
"3046","Argentina","Blue mussel","Atlantic, Southwest",2003,24.9,0.83,0.332443257676902,30,10,10,7,5,7,10,8.2,7.1
"3048","Argentina","Pacific cupped oyster","Atlantic, Southwest",2003,50,1,0.667556742323097,50,3,10,5,7,7,10,7,6.4
"3052","Australia","Atlantic salmon","Pacific, Southwest",2003,75939.64,4.99340084166228,0.429437546116405,15208,1,1,1,3,5,3,2.3,3.7
"3056","Australia","Cupped oysters nei","Indian Ocean, Eastern",2003,2956.93,2.9334623015873,0.0167213956141744,1008,5,10,7,7,9,10,8,7.1
"3064","Australia","Pacific cupped oyster","Indian Ocean, Eastern",2003,15469.41,3.67008540925267,0.0874792857889315,4215,1,10,10,10,7,10,8,7.2
"3067","Australia","Southern bluefin tuna","Indian Ocean, Eastern",2003,53275.62,22.4507458912769,0.301272846706016,2373,10,1,1,1,3,1,2.8,4.1
"3090","Brazil","Cupped oysters nei","Atlantic, Southwest",2003,3294,0.13040896314185,0.0175215170506063,25259,7,10,7,7,7,10,8,7.1
"3101","Brazil","Whiteleg shrimp","Atlantic, Southwest",2003,180380.02,85.8952476190476,0.959481358839925,2100,1,3,3,5,1,1,2.3,4
"3115","Canada","Blue mussel","Atlantic, Northwest",2003,22021.9,550.5475,0.051831744571664,40,10,10,9,8,8,10,9.2,8.2
"3181","China","Red drum","Pacific, Northwest",2003,60,0.041407867494824,0.000259109960739659,1449,1,1,2,5,4,5,3,4.4
"3271","France","Atlantic salmon","Atlantic, Northeast",2003,100000.01,33333.3366666667,0.136270759178768,3,10,3,2,5,5,3,4.7,4.8
"3299","France","Pacific cupped oyster","Mediterranean and Black Sea",2003,0,0,0,94,1,10,10,5,5,1,5.3,6.2
"3326","Greece","European eel","Mediterranean and Black Sea",2003,371.45,2.23765060240964,0.00195785971172209,166,10,3,3,3,6,7,5.3,5.9
"3327","Greece","European flat oyster","Mediterranean and Black Sea",2003,13462.3,158.38,0.0709578538083626,85,10,10,7,5,7,10,8.2,7.3
"3328","Greece","European seabass","Mediterranean and Black Sea",2003,132024,77.433431085044,0.695879581586747,1705,10,3,5,5,5,1,4.8,5
"3329","Greece","Flathead grey mullet","Mediterranean and Black Sea",2003,5486.78,0.332471671817245,0.0289200309842039,16503,10,3,5,5,5,3,5.2,5.7
"3345","Iceland","Atlantic salmon","Atlantic, Northeast",2003,4620,1.47603833865815,0.0235087346143728,3130,1,5,5,8,6,5,5,6.1
"3351","Iceland","Spotted wolffish","Atlantic, Northeast",2003,470,2.83132530120482,0.00239158122700329,166,10,3,6,8,7,5,6.5,6.9
"3370","Ireland","Atlantic salmon","Atlantic, Northeast",2003,6132.24,2.58635175031632,0.00604198185407293,2371,10,3,3,5,5,5,5.2,5.4
"3379","Ireland","Pacific cupped oyster","Atlantic, Northeast",2003,0.6,0.04,5.91168824514983e-07,15,1,10,7,5,7,10,6.7,6.8
"3504","Malaysia","Blood cockle","Pacific, Western Central",2003,60,20,0.000879248676144577,3,10,10,7,3,5,7,7,7
"3559","Mexico","Yellowfin tuna","Pacific, Eastern Central",2003,8,0.000334196674743086,2.47484628111036e-05,23938,10,1,1,1,3,1,2.8,4.1
"3571","Morocco","Mediterranean mussel","Mediterranean and Black Sea",2003,1,1,9.77449172398673e-06,1,10,10,7,5,6,10,6.3,6.4
"3572","Morocco","Penaeus shrimps nei","Mediterranean and Black Sea",2003,0,0,0,1,5,3,3,5,4,5,4.2,4.9
"3590","Namibia","Pacific cupped oyster","Atlantic, Southeast",2003,38214.84,707.682222222222,0.994955814560184,54,1,10,7,4,7,9,6.3,5.5
"3606","Nigeria","Snappers nei","Atlantic, Eastern Central",2003,284313.4,2187.02615384615,1,130,5,7,3,3,4,3,4.2,4.9
"3608","Norway","Atlantic cod","Atlantic, Northeast",2003,0,0,0,1813,10,1,3,3,3,1,3.5,4.6
"3611","Norway","Blue mussel","Atlantic, Northeast",2003,8,5.07717303005686e-05,6.40307239903537e-06,157568,10,10,9,8,7,10,9,8.1
"3644","Peru","Pacific cupped oyster","Pacific, Southeast",2003,152.71,0.253250414593698,0.0244143419670564,603,1,10,10,5,7,10,7.2,6.5
"3647","Philippines","Banana prawn","Pacific, Western Central",2003,0,0,0,1942.81,10,4,5,1,3,1,4,4.3
"3672","Portugal","Common edible cockle","Atlantic, Northeast",2003,149.05,2.71,0.000396594940411777,55,10,10,7,6,9,6,8,6.9
"3673","Portugal","Common sole","Atlantic, Northeast",2003,46940,2040.86956521739,0.124898802434947,23,10,5,3,6,4,5,5.5,5.8
"3675","Portugal","European seabass","Atlantic, Northeast",2003,320,106.666666666667,0.000851461797596568,3,10,3,3,6,4,4,5,5.4
"3676","Portugal","Flat and cupped oysters nei","Atlantic, Northeast",2003,8047.09,502.943125,0.0214118428650668,16,10,10,7,6,7,9,8.2,7
"3677","Portugal","Gilthead seabream","Atlantic, Northeast",2003,258352.98,186.671228323699,0.687430289891344,1384,10,3,3,6,4,3,4.8,5.3
"3688","Portugal","Sargo breams nei","Atlantic, Northeast",2003,1627.29,0.176725673327541,0.00432992271440912,9208,6,3,3,6,4,3,4.2,4.8
"3689","Portugal","Sea mussels nei","Atlantic, Northeast",2003,0,0,0,1492,5,10,7,6,7,8,7.2,6.5
"3692","Portugal","Turbot","Atlantic, Northeast",2003,2104.49,32.3767692307692,0.005599665120075,65,10,3,3,6,4,5,5.2,5.3
"3738","Saudi Arabia","Flathead grey mullet","Indian Ocean, Western",2003,199250.55,13283.37,0.793402374745306,15,10,3,5,5,5,5,5.5,5.7
"3802","South Africa","Mediterranean mussel","Atlantic, Southeast",2003,1952.39,2.88388478581979,0.0334112373840873,677,1,10,7,7,7,9,6.8,6.2
"3803","South Africa","Mullets nei","Atlantic, Southeast",2003,1497.07,9.65851612903226,0.0256193491825893,155,5,5,4,6,5,6,5.2,5.4
"3804","South Africa","Pacific cupped oyster","Atlantic, Southeast",2003,627.26,0.823175853018373,0.010734296304295,762,1,10,7,7,7,9,6.8,6.1
"3805","South Africa","Perlemoen abalone","Atlantic, Southeast",2003,24486.36,1020.265,0.419034919576631,24,10,5,7,6,7,8,7.2,6.7
"3806","South Africa","Red bait","Atlantic, Southeast",2003,13.63,0.000404919639939396,0.000233250101437269,33661,1,5,4,7,5,6,4.7,5
"3814","Spain","Atlantic salmon","Atlantic, Northeast",2003,1178.79,16.8398571428571,0.000417557730307801,70,10,1,2,3,3,1,3.3,3.5
"3827","Spain","European eel","Atlantic, Northeast",2003,22850.86,3808.47666666667,0.0080943622164943,6,10,3,3,3,6,7,5.3,5.9
"3828","Spain","European flat oyster","Atlantic, Northeast",2003,29,0.00604166666666667,1.02725457281842e-05,4800,10,10,7,5,7,10,8.2,7.3
"3836","Spain","Gilthead seabream","Atlantic, Northeast",2003,172936.81,0.725631320124535,0.0612586651314241,238326,10,1,1,3,3,1,3.2,4.2
"3858","Spain","Pacific cupped oyster","Mediterranean and Black Sea",2003,30.8,0.102666666666667,1.09101520147611e-05,300,1,10,7,5,7,10,6.7,6.4
"3929","Thailand","Cupped oysters nei","Pacific, Western Central",2003,1357.44,4.17673846153846,0.309178743961353,325,5,10,7,5,6,10,7.2,6.7
"3949","Turkey","Atlantic salmon","Mediterranean and Black Sea",2003,3410,5,0.0315279877460605,682,1,3,3,8,5,5,4.2,4.7
"3954","Turkey","Gilthead seabream","Mediterranean and Black Sea",2003,51.63,12.9075,0.000477357773410294,4,8,3,3,7,5,6,5.3,5.1
"3958","Turkey","Natantian decapods nei","Mediterranean and Black Sea",2003,464.06,2.3203,0.00429058005672634,200,5,5,5,6,5,5,5.2,5.1
"3966","Turkey","Trouts nei","Mediterranean and Black Sea",2003,178.79,3.08258620689655,0.00165304660677952,58,5,3,3,5,5,5,4.3,4.8
"3972","Ukraine","Mullets nei","Mediterranean and Black Sea",2003,4304,0.5,1,8608,5,10,5,5,5,5,5.8,5.6
"3998","United Kingdom","European flat oyster","Atlantic, Northeast",2003,2210,10,0.4814961676391,221,10,10,7,5,7,10,8.2,7.3
"4047","Viet Nam","Gracilaria seaweeds","Pacific, Western Central",2003,2501.4,11.37,0.149758245863597,220,10,10,10,5,7,10,8.7,7.9
"4060","Argentina","Blue mussel","Atlantic, Southwest",2004,18.9,0.63,0.143051771117166,30,10,10,7,5,7,10,8.2,7.1
"4062","Argentina","Pacific cupped oyster","Atlantic, Southwest",2004,84.24,0.78,0.637602179836512,108,3,10,5,7,7,10,7,6.4
"4063","Argentina","River Plata mussel","Atlantic, Southwest",2004,28.98,0.63,0.219346049046322,46,7,10,7,5,7,10,7.7,7
"4066","Australia","Atlantic salmon","Pacific, Southwest",2004,102062.86,6.19463826171401,0.403995013180334,16476,1,1,1,3,5,3,2.3,3.7
"4070","Australia","Cupped oysters nei","Indian Ocean, Eastern",2004,10573.61,3.31461128526646,0.0418534784476323,3190,5,10,7,7,9,10,8,7.1
"4078","Australia","Pacific cupped oyster","Indian Ocean, Eastern",2004,16661.44,4.2721641025641,0.0659509117459901,3900,1,10,10,10,7,10,8,7.2
"4081","Australia","Southern bluefin tuna","Indian Ocean, Eastern",2004,85369.11,18.7459617918314,0.337916208889731,4554,10,1,1,1,3,1,2.8,4.1
"4104","Brazil","Cupped oysters nei","Atlantic, Southwest",2004,4023,0.178720568636162,0.0249836981835119,22510,7,10,7,7,7,10,8,7.1
"4115","Brazil","Whiteleg shrimp","Atlantic, Southwest",2004,151808,165.008695652174,0.942760440925322,920,1,3,3,5,1,1,2.3,4
"4126","Canada","Atlantic cod","Atlantic, Northwest",2004,0,0,0,4,10,1,3,3,3,3,3.8,4.7
"4129","Canada","Blue mussel","Atlantic, Northwest",2004,25081.31,597.174047619048,0.057994760164999,42,10,10,9,8,8,10,9.2,8.2
"4195","China","Red drum","Pacific, Northwest",2004,36,0.0213649851632047,0.000154010233980048,1685,1,1,2,5,4,5,3,4.4
"4285","France","Atlantic salmon","Atlantic, Northeast",2004,155235.02,11088.2157142857,0.191375819059675,14,10,3,2,5,5,3,4.7,4.8
"4286","France","Blue mussel","Atlantic, Northeast",2004,118200.01,0.761426289174477,0.145718560970404,155235,10,10,9,8,7,10,9,8.1
"4294","France","European flat oyster","Mediterranean and Black Sea",2004,0,0,0,14,10,10,7,5,7,10,8.2,7.3
"4313","France","Pacific cupped oyster","Mediterranean and Black Sea",2004,0,0,0,107,1,10,10,5,5,1,5.3,6.2
"4340","Greece","European eel","Mediterranean and Black Sea",2004,698.28,3.26299065420561,0.00308737240016941,214,10,3,3,3,6,7,5.3,5.9
"4341","Greece","European flat oyster","Mediterranean and Black Sea",2004,20617.09,156.190075757576,0.0911563192957105,132,10,10,7,5,7,10,8.2,7.3
"4342","Greece","European seabass","Mediterranean and Black Sea",2004,144320,65.273631840796,0.638095870986494,2211,10,3,5,5,5,1,4.8,5
"4343","Greece","Flathead grey mullet","Mediterranean and Black Sea",2004,20444.07,1.1332633037694,0.090391329359471,18040,10,3,5,5,5,3,5.2,5.7
"4365","Iceland","Spotted wolffish","Atlantic, Northeast",2004,600,2.7906976744186,0.00331651271783132,215,10,3,6,8,7,5,6.5,6.9
"4384","Ireland","Atlantic salmon","Atlantic, Northeast",2004,9954.39,3.54374866500534,0.00956743591546812,2809,10,3,3,5,5,5,5.2,5.4
"4518","Malaysia","Blood cockle","Pacific, Western Central",2004,60,2.85714285714286,0.000782901432709622,21,10,10,7,3,5,7,7,7
"4551","Mexico","Abalones nei","Pacific, Eastern Central",2004,703.09,14.0618,0.00202830938196006,50,5,10,1,7,5,3,5.2,4.6
"4573","Mexico","Yellowfin tuna","Pacific, Eastern Central",2004,6,0.000304444895473919,1.73091016680089e-05,19708,10,1,1,1,3,1,2.8,4.1
"4604","Namibia","Pacific cupped oyster","Atlantic, Southeast",2004,42531.78,708.863,0.993939629049118,60,1,10,7,4,7,9,6.3,5.5
"4620","Nigeria","Snappers nei","Atlantic, Eastern Central",2004,297805.2,3867.6,1,77,5,7,3,3,4,3,4.2,4.9
"4622","Norway","Atlantic cod","Atlantic, Northeast",2004,0,0,0,2300,10,1,3,3,3,1,3.5,4.6
"4625","Norway","Blue mussel","Atlantic, Northeast",2004,4,2.66545832555908e-05,3.32906932263368e-06,150068,10,10,9,8,7,10,9,8.1
"4653","Peru","False abalone","Pacific, Southeast",2004,25.64,1.282,0.00484572672671538,20,10,10,7,7,7,5,7.7,7.2
"4658","Peru","Pacific cupped oyster","Pacific, Southeast",2004,203.22,0.496870415647922,0.0384067310999648,409,1,10,10,5,7,10,7.2,6.5
"4661","Philippines","Banana prawn","Pacific, Western Central",2004,0,0,0,1826.88,10,4,5,1,3,1,4,4.3
"4686","Portugal","Common edible cockle","Atlantic, Northeast",2004,1068.02,13.6925641025641,0.00232054964013577,78,10,10,7,6,9,6,8,6.9
"4687","Portugal","Common sole","Atlantic, Northeast",2004,68957.21,398.596589595376,0.14982737107008,173,10,5,3,6,4,5,5.5,5.8
"4690","Portugal","Flat and cupped oysters nei","Atlantic, Northeast",2004,7861.66,1123.09428571429,0.0170814893764815,7,10,10,7,6,7,9,8.2,7
"4691","Portugal","Gilthead seabream","Atlantic, Northeast",2004,314391.78,254.56824291498,0.683097443812517,1235,10,3,3,6,4,3,4.8,5.3
"4702","Portugal","Sargo breams nei","Atlantic, Northeast",2004,1871.69,0.194825647965025,0.00406673054432101,9607,6,3,3,6,4,3,4.2,4.8
"4703","Portugal","Sea mussels nei","Atlantic, Northeast",2004,0,0,0,1839,5,10,7,6,7,8,7.2,6.5
"4706","Portugal","Turbot","Atlantic, Northeast",2004,1942.5,26.9791666666667,0.00422058358079786,72,10,3,3,6,4,5,5.2,5.3
"4752","Saudi Arabia","Flathead grey mullet","Indian Ocean, Western",2004,190258.98,1612.36423728814,0.718840092812705,118,10,3,5,5,5,5,5.5,5.7
"4810","South Africa","European flat oyster","Atlantic, Southeast",2004,14313.41,433.739696969697,0.241079448502556,33,1,10,7,7,7,8,6.7,6.1
"4816","South Africa","Mediterranean mussel","Atlantic, Southeast",2004,1988.21,3.09208398133748,0.0334872382127855,643,1,10,7,7,7,9,6.8,6.2
"4817","South Africa","Mullets nei","Atlantic, Southeast",2004,1286.74,8.30154838709677,0.0216724435034125,155,5,5,4,6,5,6,5.2,5.4
"4818","South Africa","Pacific cupped oyster","Atlantic, Southeast",2004,198.37,0.310438184663537,0.0033411276697483,639,1,10,7,7,7,9,6.8,6.1
"4819","South Africa","Perlemoen abalone","Atlantic, Southeast",2004,13635.7,1947.95714285714,0.229664841288435,7,10,5,7,6,7,8,7.2,6.7
"4820","South Africa","Red bait","Atlantic, Southeast",2004,20.7,0.000907337599719471,0.000348648196621414,22814,1,5,4,7,5,6,4.7,5
"4828","Spain","Atlantic salmon","Atlantic, Northeast",2004,1204.18,17.451884057971,0.000362659335023943,69,10,1,2,3,3,1,3.3,3.5
"4839","Spain","Cupped oysters nei","Atlantic, Northeast",2004,14.7,2.94,4.42715559538603e-06,5,5,10,10,7,8,10,8.3,7.2
"4841","Spain","European eel","Atlantic, Northeast",2004,36227.06,2131.00352941176,0.0109103966927473,17,10,3,3,3,6,7,5.3,5.9
"4842","Spain","European flat oyster","Atlantic, Northeast",2004,28,0.00538876058506543,8.43267732454483e-06,5196,10,10,7,5,7,10,8.2,7.3
"4850","Spain","Gilthead seabream","Atlantic, Northeast",2004,189524.94,0.792096543653613,0.05707866657049,239270,10,1,1,3,3,1,3.2,4.2
"4872","Spain","Pacific cupped oyster","Mediterranean and Black Sea",2004,67.2,0.331034482758621,2.02384255789076e-05,203,1,10,7,5,7,10,6.7,6.4
"4943","Thailand","Cupped oysters nei","Pacific, Western Central",2004,3174.16,3.5073591160221,0.303954173605199,905,5,10,7,5,6,10,7.2,6.7
"4963","Turkey","Atlantic salmon","Mediterranean and Black Sea",2004,2350,5,0.0170916785272006,470,1,3,3,8,5,5,4.2,4.7
