Country,Native  vs. introduced,Export domestic,Fish meal usage,Intensity level,Nutrition Protein,Hatchery vs wild,Antibiotic Drug use,Habitat alteration,Mol- Biol GMO,Code- practice CoC,Traceability,Employment,Waste water treatment
Indonesia,10.0,2.6,4.8,6.6,6.6,3.0,3.4,2.4,7.5,4.5,2.9,6.8,2.4
Iran,1.0,1.0,3.0,6.0,6.0,2.0,5.0,6.0,5.0,5.0,6.0,7.0,4.0
Ireland,9.1,4.4,7.3,6.4,6.4,6.5,8.1,6.7,8.5,6.1,6.3,5.6,8.1
Italy,10.0,6.0,3.7,5.4,5.4,5.3,3.9,4.8,5.2,6.1,6.8,6.5,4.8
Japan,10.0,5.0,9.8,6.9,6.9,4.3,9.8,6.2,6.9,7.0,8.3,5.0,8.0
Kiribati,10.0,5.0,7.0,5.0,5.0,1.0,5.0,3.0,8.0,5.0,3.0,7.0,3.0
"Korea, N.",7.5,5.0,10.0,7.2,7.2,5.0,10.0,7.0,7.1,7.0,5.4,7.0,5.4
"Korea, S.",8.6,5.0,10.0,7.0,7.0,5.0,10.0,7.0,7.0,7.0,7.5,5.0,8.5
Madagascar,10.0,1.0,1.0,3.0,3.0,5.0,1.0,1.0,7.0,3.0,3.0,6.0,1.0
Malaysia,10.0,4.3,8.3,5.9,5.9,2.9,8.3,4.3,9.3,4.6,4.6,5.1,6.0
Mexico,9.5,5.0,3.4,3.4,3.4,4.9,3.4,3.2,5.1,5.0,5.1,3.2,5.3
Morocco,8.3,3.0,4.3,4.6,8.1,5.0,5.2,4.5,5.7,5.0,6.0,7.8,5.9
Myanmar,10.0,1.0,1.0,1.0,10.0,3.0,1.0,1.0,7.0,4.0,3.0,6.0,1.0
Namibia,4.4,1.0,10.0,7.1,3.4,4.0,8.8,7.8,8.0,3.0,5.0,4.6,9.4
Netherlands,9.9,6.9,10.0,8.9,5.0,8.0,10.0,7.1,9.8,5.1,7.0,6.0,10.0
New Zealand,1.0,3.0,10.0,10.0,4.0,3.0,10.0,7.0,7.0,8.0,7.0,7.0,10.0
Nicaragua,10.0,5.0,3.0,1.0,10.0,5.0,5.0,3.0,5.0,3.0,5.0,3.0,3.0
Nigeria,5.9,7.4,6.3,3.0,8.5,3.0,4.0,4.0,8.0,3.8,5.0,3.0,3.0
Norway,10.0,1.0,1.0,1.0,9.0,5.0,1.0,3.0,5.0,5.0,5.0,5.0,1.0
Pakistan,4.0,3.0,3.0,5.0,8.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0
Panama,10.0,5.0,3.0,1.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Peru,10.0,5.0,3.1,1.1,9.9,5.0,3.1,3.1,3.1,3.1,5.1,5.0,3.1
Philippines,10.0,4.0,5.5,5.5,10.0,1.0,4.0,2.5,7.7,4.5,3.0,6.7,2.5
Poland,5.0,8.0,5.0,5.0,8.0,6.0,4.0,5.0,4.0,5.0,6.0,4.0,5.0
Portugal,8.7,4.3,7.6,5.6,6.3,6.5,6.5,6.6,7.0,6.0,5.7,5.5,7.0
Russian,9.3,3.4,9.7,8.9,3.3,7.3,9.2,7.5,7.9,4.0,5.7,4.2,9.2
Saudi Arabia,9.7,1.5,1.3,1.5,9.9,3.3,1.4,4.9,6.9,3.4,5.0,6.7,1.5
Senegal,7.0,3.2,7.7,5.7,5.3,4.1,6.7,6.0,7.0,4.0,5.1,5.7,6.7
South Africa,2.4,3.4,9.6,6.9,5.2,6.8,8.2,7.1,7.2,6.0,5.3,5.0,9.0
Spain,10.0,6.8,9.6,8.6,5.2,7.7,9.6,6.8,9.8,5.0,6.9,6.0,9.6
Sri Lanka,10.0,1.0,1.0,1.0,10.0,1.0,5.0,1.0,10.0,3.0,1.0,5.0,1.0
Sweden,3.3,5.6,5.6,4.5,8.1,7.6,5.5,5.8,5.8,8.0,5.6,5.0,5.4
Taiwan,6.4,3.9,3.5,5.8,7.8,4.6,5.9,4.2,7.2,5.0,3.9,6.7,5.3
Thailand,9.3,1.9,2.6,2.0,9.5,1.6,2.5,1.8,6.9,3.5,4.1,5.9,2.2
Tonga,10.0,10.0,7.0,10.0,10.0,1.0,5.0,5.0,8.0,5.0,3.0,7.0,3.0
Turkey,6.4,3.0,3.2,3.1,8.9,6.4,4.1,5.1,5.1,4.5,4.2,5.0,6.0
Ukraine,7.7,5.0,9.5,6.2,6.6,5.9,6.4,6.2,6.3,5.0,4.7,5.0,6.9
United Kingdom,9.9,3.4,1.9,2.7,8.6,3.5,1.9,3.5,5.5,5.9,4.3,4.2,5.5
United States,3.7,7.1,7.3,5.1,5.6,6.4,7.3,5.8,6.4,7.0,6.7,4.4,8.4
Venezuela,1.0,5.0,3.0,3.0,10.0,7.0,3.0,3.0,5.0,7.0,5.0,5.0,5.0
Viet Nam,9.7,2.1,2.8,2.8,8.7,2.0,2.4,2.2,7.0,3.6,3.8,7.1,2.7
